regionid,dnoregion,shortname,from,to,forecast,index,fuel-biomass,fuel-coal,fuel-imports,fuel-gas,fuel-nuclear,fuel-other,fuel-hydro,fuel-solar,fuel-wind
13,UKPN London,London,2020-02-01T11:30Z,2020-02-01T12:00Z,151,low,0.8,0,61.6,14.2,0.6,0,2.2,6.6,14
13,UKPN London,London,2020-02-01T12:00Z,2020-02-01T12:30Z,165,moderate,0,0,63,14.6,0,0,2.1,7.2,13.1
13,UKPN London,London,2020-02-01T12:30Z,2020-02-01T13:00Z,176,moderate,0,0,61.5,15.1,0,0,2.2,7.4,13.8
13,UKPN London,London,2020-02-01T13:00Z,2020-02-01T13:30Z,120,low,0,0,56,16,0.9,0,2.3,8.2,16.6
13,UKPN London,London,2020-02-01T13:30Z,2020-02-01T14:00Z,62,low,0,0,0,0,0,0,0,100,0
13,UKPN London,London,2020-02-01T14:00Z,2020-02-01T14:30Z,0,very low,100,0,0,0,0,0,0,0,0
13,UKPN London,London,2020-02-01T14:30Z,2020-02-01T15:00Z,-1,very low,100,0,0,0,0,0,0,0,0
13,UKPN London,London,2020-02-01T15:00Z,2020-02-01T15:30Z,-1,very low,100,0,0,0,0,0,0,0,0
13,UKPN London,London,2020-02-01T15:30Z,2020-02-01T16:00Z,-1,very low,100,0,0,0,0,0,0,0,0
13,UKPN London,London,2020-02-01T16:00Z,2020-02-01T16:30Z,-1,very low,100,0,0,0,0,0,0,0,0
13,UKPN London,London,2020-02-01T16:30Z,2020-02-01T17:00Z,-1,very low,100,0,0,0,0,0,0,0,0
13,UKPN London,London,2020-02-01T17:00Z,2020-02-01T17:30Z,62,low,100,0,0,0,0,0,0,0,0
13,UKPN London,London,2020-02-01T17:30Z,2020-02-01T18:00Z,127,low,0,0,56,23.4,0.4,0,1.9,0.3,18
13,UKPN London,London,2020-02-01T18:00Z,2020-02-01T18:30Z,195,moderate,0,0,58.6,22.3,0.3,0,1.8,0.1,16.9
13,UKPN London,London,2020-02-01T18:30Z,2020-02-01T19:00Z,201,moderate,0,0,60,22.1,0.4,0,1.6,0,15.9
13,UKPN London,London,2020-02-01T19:00Z,2020-02-01T19:30Z,209,moderate,0,0,58.7,24.2,0.5,0,1.4,0,15.2
13,UKPN London,London,2020-02-01T19:30Z,2020-02-01T20:00Z,214,moderate,0,0,57.3,26.1,0.6,0,1.3,0,14.7
13,UKPN London,London,2020-02-01T20:00Z,2020-02-01T20:30Z,216,moderate,0,0,57,27,0.5,0,1.3,0,14.2
13,UKPN London,London,2020-02-01T20:30Z,2020-02-01T21:00Z,214,moderate,0,0,57.7,26,0.7,0,1.3,0,14.3
13,UKPN London,London,2020-02-01T21:00Z,2020-02-01T21:30Z,209,moderate,0,0,58.5,24,1.2,0,1.3,0,15
13,UKPN London,London,2020-02-01T21:30Z,2020-02-01T22:00Z,202,moderate,0,0,59.2,22,1.9,0,1.3,0,15.6
13,UKPN London,London,2020-02-01T22:00Z,2020-02-01T22:30Z,197,moderate,0,0,60.3,20.3,2.3,0,1.3,0,15.8
13,UKPN London,London,2020-02-01T22:30Z,2020-02-01T23:00Z,194,moderate,0,0,60.1,19.6,2.9,0,1.3,0,16.1
13,UKPN London,London,2020-02-01T23:00Z,2020-02-01T23:30Z,191,moderate,0,0,59.3,19.3,3.6,0,1.2,0,16.6
13,UKPN London,London,2020-02-01T23:30Z,2020-02-02T00:00Z,190,moderate,0,0,57.4,19.8,4.4,0,1.2,0,17.2
13,UKPN London,London,2020-02-02T00:00Z,2020-02-02T00:30Z,190,moderate,0,0,56.4,20.6,4.6,0,1.2,0,17.2
13,UKPN London,London,2020-02-02T00:30Z,2020-02-02T01:00Z,192,moderate,0,0,54.2,22,5.2,0,1.2,0,17.4
13,UKPN London,London,2020-02-02T01:00Z,2020-02-02T01:30Z,193,moderate,0,0,52.7,23.2,5.6,0,1.2,0,17.3
13,UKPN London,London,2020-02-02T01:30Z,2020-02-02T02:00Z,194,moderate,0,0,51.3,23.4,6.7,0,1.1,0,17.5
13,UKPN London,London,2020-02-02T02:00Z,2020-02-02T02:30Z,196,moderate,0,0,52.4,23.4,6.9,0,1.1,0,16.2
13,UKPN London,London,2020-02-02T02:30Z,2020-02-02T03:00Z,204,moderate,0,0,55.7,23.1,6.1,0,1.1,0,14
13,UKPN London,London,2020-02-02T03:00Z,2020-02-02T03:30Z,216,moderate,1.9,0.3,59.4,24.9,2.4,0,1.2,0,9.9
13,UKPN London,London,2020-02-02T03:30Z,2020-02-02T04:00Z,226,moderate,3.7,0.5,60.6,26.6,0,0,1.2,0,7.4
13,UKPN London,London,2020-02-02T04:00Z,2020-02-02T04:30Z,229,moderate,4.3,0.6,59.4,27.2,0.2,0,1.3,0,7
13,UKPN London,London,2020-02-02T04:30Z,2020-02-02T05:00Z,229,moderate,5,0.7,58.2,27.8,0.4,0,1.3,0,6.6
13,UKPN London,London,2020-02-02T05:00Z,2020-02-02T05:30Z,228,moderate,5.3,0.8,57.2,27.9,0.7,0,1.4,0,6.7
13,UKPN London,London,2020-02-02T05:30Z,2020-02-02T06:00Z,225,moderate,6.2,0.9,54,28.7,1.4,0,1.5,0,7.3
13,UKPN London,London,2020-02-02T06:00Z,2020-02-02T06:30Z,220,moderate,7.4,1.1,50.1,29.1,2.1,0,1.6,0,8.6
13,UKPN London,London,2020-02-02T06:30Z,2020-02-02T07:00Z,215,moderate,9.1,1.4,45.2,29.4,3,0,1.7,0,10.2
13,UKPN London,London,2020-02-02T07:00Z,2020-02-02T07:30Z,210,moderate,10.6,1.6,41.4,29.2,3.7,0,1.8,0,11.7
13,UKPN London,London,2020-02-02T07:30Z,2020-02-02T08:00Z,206,moderate,11.7,1.8,37.5,29.4,4.5,0,1.9,0,13.2
13,UKPN London,London,2020-02-02T08:00Z,2020-02-02T08:30Z,202,moderate,11.6,1.8,34.1,28.7,6.6,0,1.9,0.1,15.2
13,UKPN London,London,2020-02-02T08:30Z,2020-02-02T09:00Z,199,moderate,11.4,1.8,32.7,28.1,7.3,0,1.9,0.2,16.6
13,UKPN London,London,2020-02-02T09:00Z,2020-02-02T09:30Z,253,moderate,19.1,2.1,21.2,42.6,4.7,0,1.8,0.6,7.9
13,UKPN London,London,2020-02-02T09:30Z,2020-02-02T10:00Z,252,moderate,19,2.4,19.5,43.4,4.4,0,2.2,1,8.1
13,UKPN London,London,2020-02-02T10:00Z,2020-02-02T10:30Z,241,moderate,17.1,1.5,25.4,40.2,3.2,0,1.9,1.3,9.4
13,UKPN London,London,2020-02-02T10:30Z,2020-02-02T11:00Z,236,moderate,16.7,1.6,26.3,38.4,3.1,0,2.1,1.9,9.9
13,UKPN London,London,2020-02-02T11:00Z,2020-02-02T11:30Z,235,moderate,15.4,2.3,30.4,34.6,2.5,0,2.1,2.4,10.3
13,UKPN London,London,2020-02-02T11:30Z,2020-02-02T12:00Z,233,moderate,16.8,2.7,26.9,34.4,3.2,0,2.5,3,10.5
